NO,TICKER,URL,English_total,Total,CE0_name,CEO_num,Pros1_text,Pros1_color,Pros1_num,Pros2_text,Pros2_color,Pros2_num,Pros3_text,Pros3_color,Pros3_num,Pros4_text,Pros4_color,Pros4_num,Pros5_text,Pros5_color,Pros5_num,Cons1_text,Cons1_color,Cons2_num,Cons2_text,Cons2_color,Cons2_num,Cons3_text,Cons3_color,Cons3_num,Cons4_text,Cons4_color,Cons4_num,Cons5_text,Cons5_color,Cons5_num
0,AMZN,https://www.glassdoor.com/Reviews/Amazon-Reviews-E6036.htm,77889,89226,Andrew Jassy,1191,Good work environment friendly cooperative,work environment,2525,Awesome work culture in the office,work culture,1891,Good company with great benefits,great benefits,1406,Great Flexibility and great pay,great pay,980,Decent pay just to shop for others,Decent pay,899,Good work environment friendly cooperative,work environment,2525,Awesome work culture in the office,work culture,1891,Good company with great benefits,great benefits,1406,Great Flexibility and great pay,great pay,980,Decent pay just to shop for others,Decent pay,899
51,ANTM,https://www.glassdoor.com/Reviews/Anthem-Reviews-E925157.htm,2882,3159,Gail K. Boudreaux,1002,"Work from home job , pto always available",Work from home,339,Great benefits and helpful training,Great benefits,157,Good work life balance in the company,work life balance,119,"Good benefits, pay is commensurate",Good benefits,110,Everything with benefits and good pay,good pay,99,"Work from home job , pto always available",Work from home,339,Great benefits and helpful training,Great benefits,157,Good work life balance in the company,work life balance,119,"Good benefits, pay is commensurate",Good benefits,110,Everything with benefits and good pay,good pay,99
18,DHR,https://www.glassdoor.com/Reviews/Danaher-Reviews-E193.htm,456,521,Rainer M. Blair,58,"Career development oriented, outstanding business system",business system,27,Continuous improvement minset was great,Continuous improvement,13,"Process Oriented, Work-Life Balance, Individual Development, Internal opportunities for growth, DBS",opportunities for growth,12,Great people and strong teamwork,Great people,12,Great place to grow if you are motivated and willing to exert effort,Great place,12,"Career development oriented, outstanding business system",business system,27,Continuous improvement minset was great,Continuous improvement,13,"Process Oriented, Work-Life Balance, Individual Development, Internal opportunities for growth, DBS",opportunities for growth,12,Great people and strong teamwork,Great people,12,Great place to grow if you are motivated and willing to exert effort,Great place,12
35,AXP,https://www.glassdoor.com/Reviews/American-Express-Reviews-E35.htm,9833,11265,Stephen J Squeri,2360,Flexible work environment; passionate,work environment,433,Awesome job great benefits great co workers,great benefits,383,Great company with good benefits,good benefits,312,Inclusive work culture promoted from the top of the organisation with great collaboration between teams,work culture,280,People genuinely willing to help you and flexible work arrangements,flexible work,279,Flexible work environment; passionate,work environment,433,Awesome job great benefits great co workers,great benefits,383,Great company with good benefits,good benefits,312,Inclusive work culture promoted from the top of the organisation with great collaboration between teams,work culture,280,People genuinely willing to help you and flexible work arrangements,flexible work,279
52,CB,https://www.glassdoor.com/Reviews/Chubb-Reviews-E150.htm,1727,2133,Evan Greenberg,586,Great work life balance and great people,work life balance,139,good benefits and stable company to work for,good benefits,80,Great company to start a career,Great company,64,Great work environment to be in,work environment,60,"Employee Centric, Ethical action at every turn, great benefits, great atmosphere, professional and enjoyable",great benefits,53,Great work life balance and great people,work life balance,139,good benefits and stable company to work for,good benefits,80,Great company to start a career,Great company,64,Great work environment to be in,work environment,60,"Employee Centric, Ethical action at every turn, great benefits, great atmosphere, professional and enjoyable",great benefits,53
2,CVX,https://www.glassdoor.com/Reviews/Chevron-Reviews-E13524.htm,3401,4306,Mike Wirth,635,Large but agile work environment,work environment,218,Great Benefits and Work Life Balance,Great Benefits,197,"The stress of work/life balance, 9/80 schedule, and very ergonomic/friendly/open work environment",9/80 schedule,170,"College reimbursement, flexible schedules and good pay",good pay,145,"Good benefits, high safety focus",Good benefits,140,Large but agile work environment,work environment,218,Great Benefits and Work Life Balance,Great Benefits,197,"The stress of work/life balance, 9/80 schedule, and very ergonomic/friendly/open work environment",9/80 schedule,170,"College reimbursement, flexible schedules and good pay",good pay,145,"Good benefits, high safety focus",Good benefits,140
19,PM,https://www.glassdoor.com/Reviews/Philip-Morris-International-Reviews-E7745.htm,1729,3073,Jacek Olczak,84,great working environment in belgrade,working environment,101,perfect environment and good salary,good salary,88,Good benefits for PMI employees,Good benefits,62,A good employer with good pay and work-life balance,good pay,52,"Great salary and benefits, amazing opportunity to work with colleagues around the world",salary and benefits,47,great working environment in belgrade,working environment,101,perfect environment and good salary,good salary,88,Good benefits for PMI employees,Good benefits,62,A good employer with good pay and work-life balance,good pay,52,"Great salary and benefits, amazing opportunity to work with colleagues around the world",salary and benefits,47
53,TMUS,https://www.glassdoor.com/Reviews/T-Mobile-Reviews-E9302.htm,12425,13120,Mike Sievert,1530,Great job great benefits fun place to work,great benefits,1206,Great pay for entry level people,Great pay,522,Flexible good pay good culture lucrative commission,good pay,460,Work life balance and fun to do,Work life balance,447,Good benefits and pay compensation,Good benefits,447,Great job great benefits fun place to work,great benefits,1206,Great pay for entry level people,Great pay,522,Flexible good pay good culture lucrative commission,good pay,460,Work life balance and fun to do,Work life balance,447,Good benefits and pay compensation,Good benefits,447
3,KO,https://www.glassdoor.com/Reviews/The-Coca-Cola-Company-Reviews-E161.htm,5055,6575,James Quincey,1198,Great company great structure great everything,Great company,227,Good benefits vs other companies in Mexico,Good benefits,223,they have extremely great benefits,great benefits,213,You get to meet many great people,great people,211,Great boundaries that allow for an actual work/life balance,work/life balance,201,Great company great structure great everything,Great company,227,Good benefits vs other companies in Mexico,Good benefits,223,they have extremely great benefits,great benefits,213,You get to meet many great people,great people,211,Great boundaries that allow for an actual work/life balance,work/life balance,201
20,AMGN,https://www.glassdoor.com/Reviews/Amgen-Reviews-E1130.htm,2443,2991,Robert A. Bradway,1009,"Great benefits, life balance and great culture",Great benefits,221,"Work Life Balance, Time Off, Culture",Work Life Balance,220,"Good benefits, work-life balance and people",Good benefits,150,"good benefits, two week company shutdown, good people",shutdown,95,flexibility in working with great work environment,work environment,93,"Great benefits, life balance and great culture",Great benefits,221,"Work Life Balance, Time Off, Culture",Work Life Balance,220,"Good benefits, work-life balance and people",Good benefits,150,"good benefits, two week company shutdown, good people",shutdown,95,flexibility in working with great work environment,work environment,93
68,CDNS,https://www.glassdoor.com/Reviews/Cadence-Design-Systems-Reviews-E1217.htm,1421,1651,Lip-Bu Tan,848,"Work life balance, cab facility",Work life balance,230,Company offers Excellent work environment,work environment,119,You'll get a nice exposure to the work culture that some of the most employee friendly companies have to offer,work culture,83,Healthy and flexible work-life balance,flexible work,55,life balance good,life balance good,46,"Work life balance, cab facility",Work life balance,230,Company offers Excellent work environment,work environment,119,You'll get a nice exposure to the work culture that some of the most employee friendly companies have to offer,work culture,83,Healthy and flexible work-life balance,flexible work,55,life balance good,life balance good,46
21,LIN,https://www.glassdoor.com/Reviews/Linde-Reviews-E10436.htm,1002,1300,Steve Angel,135,"benefits, work-life balance, sports, friends",work-life balance,57,"good work environment, very nice people",work environment,35,Good pay with excellent benefits,Good pay,28,Operators are great people to work with,great people,26,Good company to grow and develop,Good company,25,"benefits, work-life balance, sports, friends",work-life balance,57,"good work environment, very nice people",work environment,35,Good pay with excellent benefits,Good pay,28,Operators are great people to work with,great people,26,Good company to grow and develop,Good company,25
4,CSCO,https://www.glassdoor.com/Reviews/Cisco-Systems-Reviews-E1425.htm,14269,24606,Chuck Robbins,7,Flexible work hours for everyone,Flexible work,1364,Full time work from home is prevalent,work from home,1287,Excellent work environment AND GREAT CAREER OPPORTUNITIES,work environment,1109,"good work life balance, good benefits",good benefits,812,good work culture for employees,good work culture,789,Flexible work hours for everyone,Flexible work,1364,Full time work from home is prevalent,work from home,1287,Excellent work environment AND GREAT CAREER OPPORTUNITIES,work environment,1109,"good work life balance, good benefits",good benefits,812,good work culture for employees,good work culture,789
54,TWTR,https://www.glassdoor.com/Reviews/Twitter-Reviews-E100569.htm,1061,1306,Jack Dorsey,485,Great work life balance & great team,work life balance,90,"Smart people, very good technology",Smart people,62,"Free food, nice environment, nice atmosphere",Free food,57,"Great people, great environment, great opps",Great people,57,Great culture which focuses on mission,Great culture,56,Great work life balance & great team,work life balance,90,"Smart people, very good technology",Smart people,62,"Free food, nice environment, nice atmosphere",Free food,57,"Great people, great environment, great opps",Great people,57,Great culture which focuses on mission,Great culture,56
69,MCHP,https://www.glassdoor.com/Reviews/Microchip-Technology-Reviews-E2298.htm,1133,1220,Ganesh Moorthy,9,"Best work life balance, supporting people",work life balance,219,Very easy-going work environment,work environment,65,"Very good work culture , friendly",work culture,36,life balance good,life balance good,35,A very stable Stable Company that's good for experienced engineer,Stable Company,26,"Best work life balance, supporting people",work life balance,219,Very easy-going work environment,work environment,65,"Very good work culture , friendly",work culture,36,life balance good,life balance good,35,A very stable Stable Company that's good for experienced engineer,Stable Company,26
55,D,https://www.glassdoor.com/Reviews/Dominion-Energy-Reviews-E204.htm,470,606,Robert Blue,20,Benefits coworkers work life balance,work life balance,33,"Good benefits, secure, low stress",Good benefits,33,incredible benefits and work environment,work environment,31,great people and great benefits,great benefits,27,Great company who cares about employees,Great company,23,Benefits coworkers work life balance,work life balance,33,"Good benefits, secure, low stress",Good benefits,33,incredible benefits and work environment,work environment,31,great people and great benefits,great benefits,27,Great company who cares about employees,Great company,23
70,DXCM,https://www.glassdoor.com/Reviews/Dexcom-Reviews-E37983.htm,732,814,Kevin Sayer,422,relaxed work environment and great benefits,work environment,33,With all of these fast paced changes Dexcom has still managed to allow employees to enjoy themselves along the way,fast paced,31,Company is growing at a fast pace,Company is growing,30,Great company with a great product,great product,28,"Work life balance, Approachable management",Work life balance,24,relaxed work environment and great benefits,work environment,33,With all of these fast paced changes Dexcom has still managed to allow employees to enjoy themselves along the way,fast paced,31,Company is growing at a fast pace,Company is growing,30,Great company with a great product,great product,28,"Work life balance, Approachable management",Work life balance,24
22,ORCL,https://www.glassdoor.com/Reviews/Oracle-Reviews-E1737.htm,33293,35820,Safra A. Catz,3857,Be able to work from home anytime,work from home,1555,"Nice work Environment, many things to learn",work Environment,1464,"Flexible working hours, Good benefits",Flexible working hours,1245,Good Work Culture and atmosphere,Good Work Culture,1165,Good work life balance good pay,life balance good,755,Be able to work from home anytime,work from home,1555,"Nice work Environment, many things to learn",work Environment,1464,"Flexible working hours, Good benefits",Flexible working hours,1245,Good Work Culture and atmosphere,Good Work Culture,1165,Good work life balance good pay,life balance good,755
85,PSX,https://www.glassdoor.com/Reviews/Phillips-66-Reviews-E498821.htm,635,759,Greg C. Garland,348,"Great benefits, safe work environment",Great benefits,53,"Great pay, good benefits, and good people",good benefits,48,You can expect some form of a healthy work-life balance,work-life balance,44,The company has a good pay package,good pay,38,Pay and benefits were good but have been better,Pay and benefits,34,"Great benefits, safe work environment",Great benefits,53,"Great pay, good benefits, and good people",good benefits,48,You can expect some form of a healthy work-life balance,work-life balance,44,The company has a good pay package,good pay,38,Pay and benefits were good but have been better,Pay and benefits,34
71,EXC,https://www.glassdoor.com/Reviews/Exelon-Reviews-E526.htm,777,947,Christopher M. Crane,334,great company good pay diversity,good pay,73,Employees are paid very well and have great benefits,great benefits,62,Exelon legitimately does have above-market pay and benefits,pay and benefits,60,"Good benefits, compensation and corporate culture",Good benefits,51,"Collaborative culture, good work-life balance",work-life balance,42,great company good pay diversity,good pay,73,Employees are paid very well and have great benefits,great benefits,62,Exelon legitimately does have above-market pay and benefits,pay and benefits,60,"Good benefits, compensation and corporate culture",Good benefits,51,"Collaborative culture, good work-life balance",work-life balance,42
102,EXPE,https://www.glassdoor.com/Reviews/Expedia-Group-Reviews-E9876.htm,4514,5063,Peter Kern,647,Great work environment for everyone,work environment,258,Great benefits and work life balance,Great benefits,235,Good benefits and decent workplace,Good benefits,204,Great medical and travel benefits,travel benefits,138,Expedia was a great company to work with,great company,128,Great work environment for everyone,work environment,258,Great benefits and work life balance,Great benefits,235,Good benefits and decent workplace,Good benefits,204,Great medical and travel benefits,travel benefits,138,Expedia was a great company to work with,great company,128
103,URI,https://www.glassdoor.com/Reviews/United-Rentals-Reviews-E7395.htm,1039,1089,Matthew Flannery,257,Good benefits with lots of great savings i,Good benefits,62,"Good pay with many ops to make high monthly commissions,",Good pay,61,Great benefits and overall good people everywhere I?€?ve been,Great benefits,45,Great company with plenty of opportunities,Great company,35,good people to work with at work,good people,26,Good benefits with lots of great savings i,Good benefits,62,"Good pay with many ops to make high monthly commissions,",Good pay,61,Great benefits and overall good people everywhere I?€?ve been,Great benefits,45,Great company with plenty of opportunities,Great company,35,good people to work with at work,good people,26
136,CFG,https://www.glassdoor.com/Reviews/Citizens-Bank-Reviews-E13640.htm,2795,2923,Bruce Van Saun,1063,But they still try to respect your work life balance,work life balance,136,They have a good benefits program,good benefits,136,Citizens pays well and has great benefits,great benefits,119,Great people and work environment,Great people,88,Connected and well adjusted work environment,work environment,62,But they still try to respect your work life balance,work life balance,136,They have a good benefits program,good benefits,136,Citizens pays well and has great benefits,great benefits,119,Great people and work environment,Great people,88,Connected and well adjusted work environment,work environment,62
104,TTWO,https://www.glassdoor.com/Reviews/Take-Two-Reviews-E7413.htm,71,89,Strauss Zelnick,39,Work environment is positive and welcoming,Work environment,6,"great place to work if you have a family, management is flexible about the pressures of your personal life",great place,4,They know what they don't know and give their developers the freedom to create great games,great games,3,With a constantly changing market they encourage you to think outside the box when it comes to projects,outside the box,3,great products,great products,3,Work environment is positive and welcoming,Work environment,6,"great place to work if you have a family, management is flexible about the pressures of your personal life",great place,4,They know what they don't know and give their developers the freedom to create great games,great games,3,With a constantly changing market they encourage you to think outside the box when it comes to projects,outside the box,3,great products,great products,3
86,STZ,https://www.glassdoor.com/Reviews/Constellation-Brands-Reviews-E805.htm,317,403,Bill Newlands,42,Great people that would call as family,Great people,20,Great company environment and employee base,Great company,19,great company to work for with great benefits,great benefits,17,"Good benefits, attempting forward thinking",Good benefits,17,Comfortable work environment - One year old Chicago Office with outdoor rooftop expected to open summer 2019,work environment,13,Great people that would call as family,Great people,20,Great company environment and employee base,Great company,19,great company to work for with great benefits,great benefits,17,"Good benefits, attempting forward thinking",Good benefits,17,Comfortable work environment - One year old Chicago Office with outdoor rooftop expected to open summer 2019,work environment,13
105,SYF,https://www.glassdoor.com/Reviews/Synchrony-Reviews-E852160.htm,1195,1322,Brian Doubles,78,Culture; Strategic work; Work life balance,Work life balance,86,"Great place to work, great benefits",great benefits,81,"Great Place To Work, Great Collaboration and Work Environment",Great Place,55,The company has very good benefits,good benefits,49,"Benefits ,Best work Environment, great leaders",work Environment,33,Culture; Strategic work; Work life balance,Work life balance,86,"Great place to work, great benefits",great benefits,81,"Great Place To Work, Great Collaboration and Work Environment",Great Place,55,The company has very good benefits,good benefits,49,"Benefits ,Best work Environment, great leaders",work Environment,33
170,ANET,https://www.glassdoor.com/Reviews/Arista-Networks-Reviews-E295128.htm,502,642,Jayshree Ullal,323,"work/life balance, you?€?ll work extra hours only if you want to",work/life balance,85,An innovative organization with amazingly smart people,smart people,49,Work culture encouraging leadership and helpfulness to others,Work culture,38,Highly collaborative work environment,work environment,38,Flexible working hours is also there,Flexible working,24,"work/life balance, you?€?ll work extra hours only if you want to",work/life balance,85,An innovative organization with amazingly smart people,smart people,49,Work culture encouraging leadership and helpfulness to others,Work culture,38,Highly collaborative work environment,work environment,38,Flexible working hours is also there,Flexible working,24
137,TSCO,https://www.glassdoor.com/Reviews/Tractor-Supply-Reviews-E2602.htm,1947,2001,Hal Lawton,235,Good stable work with great customers,great customers,96,Some team members are amazing to work with,team members,69,Interesting work environment (customers AND employees),work environment,51,"training, hands on, great people to work with",great people,47,Great environment good benefits and pay,good benefits,46,Good stable work with great customers,great customers,96,Some team members are amazing to work with,team members,69,Interesting work environment (customers AND employees),work environment,51,"training, hands on, great people to work with",great people,47,Great environment good benefits and pay,good benefits,46
87,IQV,https://www.glassdoor.com/Reviews/IQVIA-Reviews-E8347.htm,6576,7749,Ari Bousbib,2164,"Good work environment, supportive managers",work environment,294,Flexible working hours; great team,Flexible working hours,199,"good benefits, opportunities for growth",good benefits,193,"Work life balance, Good work culture",work culture,181,It is a very good company to work,good company,143,"Good work environment, supportive managers",work environment,294,Flexible working hours; great team,Flexible working hours,199,"good benefits, opportunities for growth",good benefits,193,"Work life balance, Good work culture",work culture,181,It is a very good company to work,good company,143
171,GPC,https://www.glassdoor.com/Reviews/Genuine-Parts-Company-Reviews-E282.htm,248,268,Paul Donahue,60,"Good benefits, excellent top level management",Good benefits,14,Great benefits & employee perks,Great benefits,11,Great people and lots of opportunity for improvement,Great people,10,People who work there are nice and hard working people,hard working,9,"The company is perceived as ""behind the times"" since decisions are more conservative",conservative,8,"Good benefits, excellent top level management",Good benefits,14,Great benefits & employee perks,Great benefits,11,Great people and lots of opportunity for improvement,Great people,10,People who work there are nice and hard working people,hard working,9,"The company is perceived as ""behind the times"" since decisions are more conservative",conservative,8
138,TFX,https://www.glassdoor.com/Reviews/Teleflex-Reviews-E138296.htm,473,546,Liam Kelly,125,"Work life balance, supportive management",Work life balance,16,Good Benefits and friendly staff with a good sports & Social club,Good Benefits,15,Great company that really puts there employees first,Great company,14,I am rather new at Teleflex and it has been a great place to work,great place,14,"Good people, has a cafeteria on site",Good people,13,"Work life balance, supportive management",Work life balance,16,Good Benefits and friendly staff with a good sports & Social club,Good Benefits,15,Great company that really puts there employees first,Great company,14,I am rather new at Teleflex and it has been a great place to work,great place,14,"Good people, has a cafeteria on site",Good people,13
88,TT,https://www.glassdoor.com/Reviews/Ingersoll-Rand-Reviews-E3248638.htm,323,380,Vicente Reynal,203,Ingersoll rand is having the experience of 150,Ingersoll rand,17,Accommodating work environment that focuses on providing work-life balance,work-life balance,12,People do not stay long at companies that do not have a good working environment so this speaks positively about the overall work environment,work environment,10,Good benefits and team oriented,Good benefits,8,The leadership team lives and promotes the values,leadership team,7,Ingersoll rand is having the experience of 150,Ingersoll rand,17,Accommodating work environment that focuses on providing work-life balance,work-life balance,12,People do not stay long at companies that do not have a good working environment so this speaks positively about the overall work environment,work environment,10,Good benefits and team oriented,Good benefits,8,The leadership team lives and promotes the values,leadership team,7
172,UAL,https://www.glassdoor.com/Reviews/United-Airlines-Reviews-E683.htm,4085,4480,Scott Kirby,500,Flight Benefits flexible fun outside,Flight Benefits,528,The airline industry has excellent travel benefits,travel benefits,347,They have great benefits and you get to travel the world,great benefits,282,Great company to work for with a lot of room for growth,Great company,115,Great people and flight benefits,Great people,107,Flight Benefits flexible fun outside,Flight Benefits,528,The airline industry has excellent travel benefits,travel benefits,347,They have great benefits and you get to travel the world,great benefits,282,Great company to work for with a lot of room for growth,Great company,115,Great people and flight benefits,Great people,107
139,HES,https://www.glassdoor.com/Reviews/Hess-Corporation-Reviews-E30.htm,394,459,John B. Hess,221,company provides great benefits to employees,great benefits,36,"Excellent place to work, great benefit, work life balance",work life balance,29,"Great people, professional, good location downtown houston",Great people,24,Fantastic work environment with great work/life balance,work environment,18,Good pay good bonus and benefits,Good pay,18,company provides great benefits to employees,great benefits,36,"Excellent place to work, great benefit, work life balance",work life balance,29,"Great people, professional, good location downtown houston",Great people,24,Fantastic work environment with great work/life balance,work environment,18,Good pay good bonus and benefits,Good pay,18
89,TROW,https://www.glassdoor.com/Reviews/T-Rowe-Price-Reviews-E3583.htm,1139,1303,William J. Stromberg,331,Great benefits and great company to work for,Great benefits,133,A great company culture that is inclusive and puts a focus on work-life balance,work-life balance,103,Good Benefits and employee stock options,Good Benefits,89,"Company culture, motivating environment, fast pace work environment",work environment,56,"good place to work, great people",great people,49,Great benefits and great company to work for,Great benefits,133,A great company culture that is inclusive and puts a focus on work-life balance,work-life balance,103,Good Benefits and employee stock options,Good Benefits,89,"Company culture, motivating environment, fast pace work environment",work environment,56,"good place to work, great people",great people,49
173,ABC,https://www.glassdoor.com/Reviews/AmerisourceBergen-Reviews-E2703.htm,1226,1353,Steve Collis,541,"Good benefits, coworkers were helpful",Good benefits,105,Great benefits good pto pet insurance,Great benefits,84,Good pay great benefits and off holidays,Good pay,43,There are great people to work for,great people,40,There was a Great work life balance,work life balance,36,"Good benefits, coworkers were helpful",Good benefits,105,Great benefits good pto pet insurance,Great benefits,84,Good pay great benefits and off holidays,Good pay,43,There are great people to work for,great people,40,There was a Great work life balance,work life balance,36
90,MPC,https://www.glassdoor.com/Reviews/Marathon-Petroleum-Reviews-E7657.htm,792,1024,Michael J. Hennigan,120,Good pay compared to other internship opportunities in Ohio,Good pay,58,great pay and a wonderful experience,great pay,58,"Strong leadership team, great pay and benefits",pay and benefits,53,I love my job the pay is great benefits are great,great benefits,50,"Great work environment, great people",great people,37,Good pay compared to other internship opportunities in Ohio,Good pay,58,great pay and a wonderful experience,great pay,58,"Strong leadership team, great pay and benefits",pay and benefits,53,I love my job the pay is great benefits are great,great benefits,50,"Great work environment, great people",great people,37
174,MGM,https://www.glassdoor.com/Reviews/MGM-Resorts-International-Reviews-E1260.htm,1381,1459,Bill Hornbuckle,153,"Great benefits, good corporate perks",Great benefits,96,a big company with good benefits,good benefits,77,Salary benefits work environment fellow employees,work environment,53,They are a great company to work for,great company,45,"Good pay compensation in addition to commission, nice management",Good pay,44,"Great benefits, good corporate perks",Great benefits,96,a big company with good benefits,good benefits,77,Salary benefits work environment fellow employees,work environment,53,They are a great company to work for,great company,45,"Good pay compensation in addition to commission, nice management",Good pay,44
204,LNT,https://www.glassdoor.com/Reviews/Alliant-Energy-Reviews-E5828.htm,209,249,John Larsen,45,"Great company culture, very safety-focused, and positive work environment",work environment,16,Great people who will help you succeed,Great people,15,"Good pay, good benefits and good work life balance",good benefits,13,"Good pay and benefits - people are nice, but leadership is shady",pay and benefits,12,"good pay , benefits , time off, trying to be agile but slow to change polices",good pay,11,"Great company culture, very safety-focused, and positive work environment",work environment,16,Great people who will help you succeed,Great people,15,"Good pay, good benefits and good work life balance",good benefits,13,"Good pay and benefits - people are nice, but leadership is shady",pay and benefits,12,"good pay , benefits , time off, trying to be agile but slow to change polices",good pay,11
91,BK,https://www.glassdoor.com/Reviews/BNY-Mellon-Reviews-E78.htm,6971,7671,Todd Gibbons,840,Good culture good work life balance,work life balance,759,Very good and neat work environment,work environment,310,"Good benefits, working from home",Good benefits,255,Diverse and good people to work with,good people,167,Exceptional work and educational environment with great people,great people,156,Good culture good work life balance,work life balance,759,Very good and neat work environment,work environment,310,"Good benefits, working from home",Good benefits,255,Diverse and good people to work with,good people,167,Exceptional work and educational environment with great people,great people,156
238,AOS,https://www.glassdoor.com/Reviews/A-O-Smith-Reviews-E753.htm,177,209,Kevin J. Wheeler,26,Extremely relaxed work environment,work environment,15,pay is good,pay is good,9,"great people, great benefits, overall great company and work environment",great people,7,The people here are good people with solid values and a professional attitude,good people,6,Great pay and benefits for the area,pay and benefits,5,Extremely relaxed work environment,work environment,15,pay is good,pay is good,9,"great people, great benefits, overall great company and work environment",great people,7,The people here are good people with solid values and a professional attitude,good people,6,Great pay and benefits for the area,pay and benefits,5
175,K,https://www.glassdoor.com/Reviews/Kellogg-Company-Reviews-E377.htm,2108,2525,Steven Cahillane,417,"Good culture, work life balance",work life balance,146,Good pay and benefits with flexible work options,Good pay,104,Was great place good benefits pension but pension was changed,good benefits,101,great people that will help you learn and succeed,great people,85,Great benefits and high awareness for safety,Great benefits,82,"Good culture, work life balance",work life balance,146,Good pay and benefits with flexible work options,Good pay,104,Was great place good benefits pension but pension was changed,good benefits,101,great people that will help you learn and succeed,great people,85,Great benefits and high awareness for safety,Great benefits,82
205,PHM,https://www.glassdoor.com/Reviews/PulteGroup-Reviews-E506.htm,561,588,Ryan R. Marshall,57,Great people and fun place to work,Great people,31,"Great pay and benefits, great work life balance",work life balance,24,Good benefits for a big company,Good benefits,23,Great company that supports their employees,Great company,22,"Great managers, great work environment",work environment,21,Great people and fun place to work,Great people,31,"Great pay and benefits, great work life balance",work life balance,24,Good benefits for a big company,Good benefits,23,Great company that supports their employees,Great company,22,"Great managers, great work environment",work environment,21
239,ALK,https://www.glassdoor.com/Reviews/Alaska-Airlines-Reviews-E19.htm,818,870,Ben Minicucci,23,Flight benefits and support from management,Flight benefits,122,travel benefits and flexible schedule,travel benefits,65,Great benefits great people to work with,Great benefits,42,Great company to work for with a positive co worker environment,Great company,39,Good company with great people to work with,great people,39,Flight benefits and support from management,Flight benefits,122,travel benefits and flexible schedule,travel benefits,65,Great benefits great people to work with,Great benefits,42,Great company to work for with a positive co worker environment,Great company,39,Good company with great people to work with,great people,39
176,AVY,https://www.glassdoor.com/Reviews/Avery-Dennison-Reviews-E65.htm,1030,1246,Mitchell Butier,325,Market leader; Innovations; work/life balance; ability to reach goals independently; no micro-management; global international team; interesting work,work/life balance,68,Good overall work environment and solid team-related approach,work environment,63,"Good benefits, better than average in the field",Good benefits,40,Great benefits and great people,great people,36,Excellent company with great benefits,great benefits,35,Market leader; Innovations; work/life balance; ability to reach goals independently; no micro-management; global international team; interesting work,work/life balance,68,Good overall work environment and solid team-related approach,work environment,63,"Good benefits, better than average in the field",Good benefits,40,Great benefits and great people,great people,36,Excellent company with great benefits,great benefits,35
92,BBY,https://www.glassdoor.com/Reviews/Best-Buy-Reviews-E97.htm,26352,27014,Corie Barry,2451,Good employee discount on some stuff,employee discount,2293,"Great work environment, good pay",work environment,983,Really great discount and benefits,great discount,931,"Flexible schedule, great people to work with",great people,788,Very flexible hours for a college student,flexible hours,650,Good employee discount on some stuff,employee discount,2293,"Great work environment, good pay",work environment,983,Really great discount and benefits,great discount,931,"Flexible schedule, great people to work with",great people,788,Very flexible hours for a college student,flexible hours,650
206,WHR,https://www.glassdoor.com/Reviews/Whirlpool-Corporation-Reviews-E732.htm,2524,4244,Marc Bitzer,844,Awesome benefits and great people to work with,great people,89,"Great learning, amazing culture, good pay",good pay,59,"Big company, good benefits, great pay",good benefits,58,Whirlpool is a great company with a lot of potential for the future,great company,55,"Good people around, opportunity to learn",Good people,52,Awesome benefits and great people to work with,great people,89,"Great learning, amazing culture, good pay",good pay,59,"Big company, good benefits, great pay",good benefits,58,Whirlpool is a great company with a lot of potential for the future,great company,55,"Good people around, opportunity to learn",Good people,52
240,NLSN,https://www.glassdoor.com/Reviews/Nielsen-Reviews-E3776.htm,5873,7421,David Kenny,785,"Over the years, there is a culture of trust which helps you to be able to work from home depending on your situation",work from home,388,Supportive and cooperative work environment,work environment,293,"flexible working hours, friendly team, good office",flexible working hours,266,"Good company, great people, friends for life",great people,174,Excellent work culture/open and transparent,work culture,138,"Over the years, there is a culture of trust which helps you to be able to work from home depending on your situation",work from home,388,Supportive and cooperative work environment,work environment,293,"flexible working hours, friendly team, good office",flexible working hours,266,"Good company, great people, friends for life",great people,174,Excellent work culture/open and transparent,work culture,138
93,CDW,https://www.glassdoor.com/Reviews/CDW-Reviews-E2347.htm,2491,2690,Christine Leahy,428,a Healthy Work/Life balance is stressed,Work/Life balance,199,Great place to learn and start a sales career,Great place,103,Overall great company to work for,great company,91,Awesome work/ life balance and great people,great people,85,"excellent company, great benefits, good culture",great benefits,76,a Healthy Work/Life balance is stressed,Work/Life balance,199,Great place to learn and start a sales career,Great place,103,Overall great company to work for,great company,91,Awesome work/ life balance and great people,great people,85,"excellent company, great benefits, good culture",great benefits,76
177,EMN,https://www.glassdoor.com/Reviews/Eastman-Reviews-E2452.htm,1733,1943,Mark J. Costa,811,Not expected to work over 40 hours per week and work/life balance is valued,work/life balance,169,"Friendly work environment, teams and no work pressure",work environment,118,Great place to work with above average pay,Great place,77,"Great people/culture, always willing to help you out",Great people,71,Good pay in comparison to other companies,Good pay,66,Not expected to work over 40 hours per week and work/life balance is valued,work/life balance,169,"Friendly work environment, teams and no work pressure",work environment,118,Great place to work with above average pay,Great place,77,"Great people/culture, always willing to help you out",Great people,71,Good pay in comparison to other companies,Good pay,66
