NO,TICKER,URL,English_total,Total,CE0_name,CEO_num,Pros1_text,Pros1_color,Pros1_num,Pros2_text,Pros2_color,Pros2_num,Pros3_text,Pros3_color,Pros3_num,Pros4_text,Pros4_color,Pros4_num,Pros5_text,Pros5_color,Pros5_num,Cons1_text,Cons1_color,Cons2_num,Cons2_text,Cons2_color,Cons2_num,Cons3_text,Cons3_color,Cons3_num,Cons4_text,Cons4_color,Cons4_num,Cons5_text,Cons5_color,Cons5_num
5,BRK-B,https://www.glassdoor.com/Reviews/Berkshire-Hathaway-Reviews-E805672.htm,605,761,Buffett Warren,26,"Great company, amazing staff support, great benefits, wonderful working environment",Great company,28,Excellent Broker Support; Highly respected company,Broker,23,Great training and support from manager,Great training,22,"I enjoyed my time at Berkshire Hathaway, from the beginning they make you feel like family",Berkshire Hathaway,22,"Supportive, good work environment, training",work environment,21,"Great company, amazing staff support, great benefits, wonderful working environment",Great company,28,Excellent Broker Support; Highly respected company,Broker,23,Great training and support from manager,Great training,22,"I enjoyed my time at Berkshire Hathaway, from the beginning they make you feel like family",Berkshire Hathaway,22,"Supportive, good work environment, training",work environment,21
37,LLY,https://www.glassdoor.com/Reviews/Eli-Lilly-and-Company-Reviews-E223.htm,2288,3048,David A. Ricks,583,Work life balance and Compensation,Work life balance,236,Great benefits and loyal employees,Great benefits,143,"Great work atmosphere, great people and good benefits",good benefits,104,Great people who genuinely care about the contributions they make to improve lives through making medicine,Great people,101,Amazing work environment at this place,work environment,89,Work life balance and Compensation,Work life balance,236,Great benefits and loyal employees,Great benefits,143,"Great work atmosphere, great people and good benefits",good benefits,104,Great people who genuinely care about the contributions they make to improve lives through making medicine,Great people,101,Amazing work environment at this place,work environment,89
69,INTU,https://www.glassdoor.com/Reviews/Intuit-Reviews-E2293.htm,5813,6995,Sasan Goodarzi,1332,Big focus on work life balance which is key during this pandemic,work life balance,970,Intuit has great benefits apart from the regular compensation,great benefits,481,great people and great work-life balance,great people,251,it has good benefits for people,good benefits,232,Intuit offers a great culture that is very open and rewarding to individuality,great culture,212,Big focus on work life balance which is key during this pandemic,work life balance,970,Intuit has great benefits apart from the regular compensation,great benefits,481,great people and great work-life balance,great people,251,it has good benefits for people,good benefits,232,Intuit offers a great culture that is very open and rewarding to individuality,great culture,212
102,USB,https://www.glassdoor.com/Reviews/U-S-Bank-Reviews-E8937.htm,6867,7204,Andrew Cecere,1265,Excellent practice of Work-life balance,Work-life balance,432,This company have good benefits,good benefits,220,Friendly sociable work environment,work environment,188,Great benefits- medical and otherwise,Great benefits,179,"Great people, great company, excellent trainers",great company,165,Excellent practice of Work-life balance,Work-life balance,432,This company have good benefits,good benefits,220,Friendly sociable work environment,work environment,188,Great benefits- medical and otherwise,Great benefits,179,"Great people, great company, excellent trainers",great company,165
70,AMT,https://www.glassdoor.com/Reviews/American-Tower-Reviews-E8043.htm,506,667,Tom Barlett,12,Great financially stable company that offers a great work life balance,work life balance,36,"Very stable, good benefits and compensation",good benefits,32,"Great benefits, good work life balance, but it can't combat the cons",Great benefits,31,It?€?s a great company to work for with great people and great benefits,great people,21,"Great company, great perks and good culture",Great company,17,Great financially stable company that offers a great work life balance,work life balance,36,"Very stable, good benefits and compensation",good benefits,32,"Great benefits, good work life balance, but it can't combat the cons",Great benefits,31,It?€?s a great company to work for with great people and great benefits,great people,21,"Great company, great perks and good culture",Great company,17
38,ACN,https://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm,52411,93185,Julie Sweet,16,Good environment for starting your job,Good environment,1568,"Good Salary, Shuttle service is free",Good Salary,1082,work timings flexibility and good culture,good culture,987,"Good Work Environment, Employee Friendly",Employee Friendly,928,Good work ethics good pay scale,good pay,716,Good environment for starting your job,Good environment,1568,"Good Salary, Shuttle service is free",Good Salary,1082,work timings flexibility and good culture,good culture,987,"Good Work Environment, Employee Friendly",Employee Friendly,928,Good work ethics good pay scale,good pay,716
6,JPM,https://www.glassdoor.com/Reviews/J-P-Morgan-Reviews-E145.htm,26864,30148,Jamie Dimon,5652,Great company with great benefits,great benefits,1142,Good benefits for new employees,Good benefits,925,It was a great work environment,work environment,916,Great company with good pay & structure,good pay,635,This is Great company to work with,Great company,611,Great company with great benefits,great benefits,1142,Good benefits for new employees,Good benefits,925,It was a great work environment,work environment,916,Great company with good pay & structure,good pay,635,This is Great company to work with,Great company,611
71,AMD,https://www.glassdoor.com/Reviews/AMD-Reviews-E15.htm,2426,2954,Dr. Lisa Su,740,good work life balance good learning,work life balance,286,good work environment in office,work environment,188,"Flexible work schedule, great manager, excellent benefits, good pay for a business student",Flexible work,115,great people there to work with,great people,104,work on cutting edge technology and good budget availability,cutting edge technology,97,good work life balance good learning,work life balance,286,good work environment in office,work environment,188,"Flexible work schedule, great manager, excellent benefits, good pay for a business student",Flexible work,115,great people there to work with,great people,104,work on cutting edge technology and good budget availability,cutting edge technology,97
39,MDT,https://www.glassdoor.com/Reviews/Medtronic-Reviews-E436.htm,4808,6010,Geoff Martha,2,Work life balance is on you how you maintain,Work life balance,280,Great work environment and good benefits,good benefits,243,Medtronic provides a great benefits package for full time employees,great benefits,227,Work environment in EE group is super friendly,Work environment,219,This is a great company to work for,great company,181,Work life balance is on you how you maintain,Work life balance,280,Great work environment and good benefits,good benefits,243,Medtronic provides a great benefits package for full time employees,great benefits,227,Work environment in EE group is super friendly,Work environment,219,This is a great company to work for,great company,181
7,JNJ,https://www.glassdoor.com/Reviews/Johnson-and-Johnson-Reviews-E364.htm,6794,10206,Alex Gorsky,3113,"Friendly teams, better work environment",work environment,347,Great benefits and people who work here,Great benefits,293,J&J is a great company who always putting people first,great company,281,"Good benefits, good learning experience,",Good benefits,262,Work with great people that are experts in their fields,great people,226,"Friendly teams, better work environment",work environment,347,Great benefits and people who work here,Great benefits,293,J&J is a great company who always putting people first,great company,281,"Good benefits, good learning experience,",Good benefits,262,Work with great people that are experts in their fields,great people,226
104,CSX,https://www.glassdoor.com/Reviews/CSX-Reviews-E124.htm,964,1013,Jim Foote,167,Great pay and benefits for Management Employees,pay and benefits,119,"Super easy, most developers are below average so giving 50% effort is the same as 150% effort at a normal company, good pay and benefits",good pay,117,Great job great benefits great environment,great benefits,81,Good benefits and pay and insurance,Good benefits,67,"Great Pay, Benefits and Retirement",Great Pay,66,Great pay and benefits for Management Employees,pay and benefits,119,"Super easy, most developers are below average so giving 50% effort is the same as 150% effort at a normal company, good pay and benefits",good pay,117,Great job great benefits great environment,great benefits,81,Good benefits and pay and insurance,Good benefits,67,"Great Pay, Benefits and Retirement",Great Pay,66
72,BLK,https://www.glassdoor.com/Reviews/BlackRock-Reviews-E9331.htm,3180,3643,Laurence D. Fink,1824,Good work life balance is encouraged,work life balance,266,BlackRock has a great technology with lots of really smart people,smart people,169,Fast-paced work environment for highly motivated individuals,work environment,101,Has a great reputation in financial circles because it is the largest asset manager,largest asset manager,93,"Great culture, genuinely cares about employee well-being",Great culture,93,Good work life balance is encouraged,work life balance,266,BlackRock has a great technology with lots of really smart people,smart people,169,Fast-paced work environment for highly motivated individuals,work environment,101,Has a great reputation in financial circles because it is the largest asset manager,largest asset manager,93,"Great culture, genuinely cares about employee well-being",Great culture,93
128,COF,https://www.glassdoor.com/Reviews/Capital-One-Reviews-E3736.htm,9848,10832,Richard D. Fairbank,5474,This company had great Work-life balance,Work-life balance,1319,Great benefits and awesome people,Great benefits,862,Good benefits and internal mobility opportunities are great,Good benefits,457,"great work environment, great technologies",work environment,432,Challenging work with great people,great people,314,This company had great Work-life balance,Work-life balance,1319,Great benefits and awesome people,Great benefits,862,Good benefits and internal mobility opportunities are great,Good benefits,457,"great work environment, great technologies",work environment,432,Challenging work with great people,great people,314
73,MU,https://www.glassdoor.com/Reviews/Micron-Technology-Reviews-E1648.htm,3119,3504,Sanjay Mehrotra,1019,Good pay and benefit especially during covid19,Good pay,166,"very good benefits outside of CTC like free stock, free food",good benefits,165,Good working environment and compensation,working environment,155,"Good work life balance, Good incentives",work life balance,153,Interns get to have a great time in Exploring Micron and Boise,Boise,109,Good pay and benefit especially during covid19,Good pay,166,"very good benefits outside of CTC like free stock, free food",good benefits,165,Good working environment and compensation,working environment,155,"Good work life balance, Good incentives",work life balance,153,Interns get to have a great time in Exploring Micron and Boise,Boise,109
105,CCI,https://www.glassdoor.com/Reviews/Crown-Castle-Reviews-E8416.htm,489,637,Jay Brown,256,"Great Company, Great Benefits too",Great Benefits,51,Great team that supports a work/life balance,work/life balance,46,This is a great company with many great leaders who truly care about their staff,great company,32,Full time employees get good benefits,good benefits,26,"Great work environment, great team work",work environment,25,"Great Company, Great Benefits too",Great Benefits,51,Great team that supports a work/life balance,work/life balance,46,This is a great company with many great leaders who truly care about their staff,great company,32,Full time employees get good benefits,good benefits,26,"Great work environment, great team work",work environment,25
129,AON,https://www.glassdoor.com/Reviews/Aon-Reviews-E53.htm,4158,5041,Greg Case,1850,"career progression, people and work environment",work environment,242,"Good benefits, smart and friendly coworkers",Good benefits,133,"flexible working hours, empowerment and autonomy for new hires",flexible working hours,122,A truly caring workplace with great people,great people,113,Good work culture and life balance,work culture,107,"career progression, people and work environment",work environment,242,"Good benefits, smart and friendly coworkers",Good benefits,133,"flexible working hours, empowerment and autonomy for new hires",flexible working hours,122,A truly caring workplace with great people,great people,113,Good work culture and life balance,work culture,107
74,SCHW,https://www.glassdoor.com/Reviews/Charles-Schwab-Reviews-E144.htm,3323,3648,Walt Bettinger II,1864,Provides Good Work life balance,Work life balance,250,Good company good benefits good 401k,good benefits,158,Very good company with great benefits,great benefits,154,Awesome experience with great people,great people,138,"great culture, supportive team, welcoming",great culture,120,Provides Good Work life balance,Work life balance,250,Good company good benefits good 401k,good benefits,158,Very good company with great benefits,great benefits,154,Awesome experience with great people,great people,138,"great culture, supportive team, welcoming",great culture,120
106,FISV,https://www.glassdoor.com/Reviews/Fiserv-Reviews-E1384.htm,5002,5285,Frank Bisignano,688,It is a good place for work life balance,work life balance,511,Maintained Work from home culture,Work from home,190,Good work environment and good projects,work environment,188,Flexible work arrangements and good PTO,Flexible work,128,Good Company with enormous scope of professional growth,Good Company,126,It is a good place for work life balance,work life balance,511,Maintained Work from home culture,Work from home,190,Good work environment and good projects,work environment,188,Flexible work arrangements and good PTO,Flexible work,128,Good Company with enormous scope of professional growth,Good Company,126
